diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	F19.120	Other psychoactive substance abuse with intoxication, uncomplicated	30580	F19120	10000
ICD10-CM	T65.291D	Toxic effect of other tobacco and nicotine, accidental (unintentional), subsequent encounter	V5889	T65291D	10000
ICD10-CM	S82.251B	Displaced comminuted fracture of shaft of right tibia, initial encounter for open fracture type I or II	82330	S82251B	10000
ICD10-CM	M84.671D	Pathological fracture in other disease, right ankle, subsequent encounter for fracture with routine healing	V5426	M84671D	10000
ICD10-CM	S12.491D	Other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing	V5417	S12491D	10000
ICD10-CM	I15	Secondary hypertension	40591	I150	10000
ICD10-CM	T40.3X2A	Poisoning by methadone, intentional self-harm, initial encounter	E9500	T403X2A	10112
ICD10-CM	N20.1	Calculus of ureter	5921	N201	10000
ICD10-CM	T49.0X5S	Adverse effect of local antifungal, anti-infective and anti-inflammatory drugs, sequela	E9460	T490X5S	10112
ICD10-CM	M92.41	Juvenile osteochondrosis of patella, right knee	7324	M9241	10000
ICD10-CM	P01.4	Newborn affected by ectopic pregnancy	7614	P014	00000
ICD10-CM	Z34.93	Encounter for supervision of normal pregnancy, unspecified, third trimester	V221	Z3493	10000
ICD10-CM	S83.262A	Peripheral tear of lateral meniscus, current injury, left knee, initial encounter	8361	S83262A	10000
ICD10-CM	R76.0	Raised antibody titer	79579	R760	10000
ICD10-CM	S45.111A	Laceration of brachial artery, right side, initial encounter	9031	S45111A	10000
ICD10-CM	O04.7	Embolism following (induced) termination of pregnancy	63562	O047	10000
ICD10-CM	S62.637G	Displaced fracture of distal phalanx of left little finger, subsequent encounter for fracture with delayed healing	V5412	S62637G	10000
ICD10-CM	Y36.90XS	War operations, unspecified, sequela	E9990	Y3690XS	10000
ICD10-CM	M16.10	Unilateral primary osteoarthritis, unspecified hip	71515	M1610	10000
ICD10-CM	H65.119	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), unspecified ear	38106	H65119	10000
ICD10-CM	M46.88	Other specified inflammatory spondylopathies, sacral and sacrococcygeal region	72089	M4688	10000
ICD10-CM	D31.22	Benign neoplasm of left retina	2245	D3122	10000
ICD10-CM	D61.810	Antineoplastic chemotherapy induced pancytopenia	28411	D61810	00000
ICD10-CM	W27.8XXS	Contact with other nonpowered hand tool, sequela	E9298	W278XXS	10000
ICD10-CM	S53.21XA	Traumatic rupture of right radial collateral ligament, initial encounter	8410	S5321XA	10000
ICD10-CM	C82.53	Diffuse follicle center lymphoma, intra-abdominal lymph nodes	20283	C8253	10000
ICD10-CM	I70.428	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity	44031	I70428	10000
ICD10-CM	H54.40	Blindness, one eye, unspecified eye	36964	H5440	10000
ICD10-CM	C50.121	Malignant neoplasm of central portion of right male breast	1759	C50121	10000
ICD10-CM	Z87.718	Personal history of other specified (corrected) congenital malformations of genitourinary system	V1362	Z87718	00000
ICD10-CM	I70.642	Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf	70712	I70642	10112
ICD10-CM	S52.022G	Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing	V5412	S52022G	10000
ICD10-CM	S06.310A	Contusion and laceration of right cerebrum without loss of consciousness, initial encounter	85181	S06310A	10000
ICD10-CM	S52.699S	Other fracture of lower end of unspecified ulna, sequela	9052	S52699S	10000
ICD10-CM	O26.841	Uterine size-date discrepancy, first trimester	64963	O26841	10000
ICD10-CM	F68.11	Factitious disorder with predominantly psychological signs and symptoms	30016	F6811	10000
ICD10-CM	S62.364A	Nondisplaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for closed fracture	81504	S62364A	10000
ICD10_CA	M70.6	Trochanteric bursitis	7265	M7060	10000
ICD10-CM	S06.2X9A	Diffuse traumatic brain injury with loss of consciousness of unspecified duration, initial encounter	85406	S062X9A	10000
ICD10-CM	N80.5	Endometriosis of intestine	6175	N805	00000
ICD10-CM	I21.19	ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall	41041	I2119	10000
ICD10-CM	O09.611	Supervision of young primigravida, first trimester	V2383	O09611	10000
ICD10-CM	T41.292A	Poisoning by other general anesthetics, intentional self-harm, initial encounter	E9500	T41292A	10112
ICD10-CM	D16.02	Benign neoplasm of scapula and long bones of left upper limb	2134	D1602	10000
ICD10-CM	S43.50XD	Sprain of unspecified acromioclavicular joint, subsequent encounter	V5889	S4350XD	10000
ICD10-CM	S92.355G	Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing	V5416	S92355G	10000
ICD10-CM	H93.93	Unspecified disorder of ear, bilateral	3889	H9393	10000
ICD10-CM	M80.052K	Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion	73382	M80052K	10000
ICD10-CM	S36.528A	Contusion of other part of colon, initial encounter	86349	S36528A	10000
ICD10-CM	K74.60	Unspecified cirrhosis of liver	5715	K7460	10000
ICD10-CM	H40.1120	Primary open-angle glaucoma, left eye, stage unspecified	36570	H401120	10112
ICD10-CM	S82.092A	Other fracture of left patella, initial encounter for closed fracture	8220	S82092A	10000
ICD10-CM	K72.91	Hepatic failure, unspecified with coma	5728	K7291	10111
ICD10-CM	T45.1X1D	Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), subsequent encounter	V5889	T451X1D	10000
ICD10-CM	F03.9	Unspecified dementia	29011	F0390	10000
ICD10-CM	G43.C1	Periodic headache syndromes in child or adult, intractable	34621	G43C1	10000
ICD10-CM	O26.813	Pregnancy related exhaustion and fatigue, third trimester	64681	O26813	10000
ICD10-CM	H02.229	Mechanical lagophthalmos unspecified eye, unspecified eyelid	37422	H02229	10000
ICD10-CM	S11.24XA	Puncture wound with foreign body of pharynx and cervical esophagus, initial encounter	8745	S1124XA	10000
ICD10-CM	S43.101D	Unspecified dislocation of right acromioclavicular joint, subsequent encounter	V5889	S43101D	10000
ICD10-CM	S90.819A	Abrasion, unspecified foot, initial encounter	9170	S90819A	10000
ICD10-CM	G21	Secondary parkinsonism	33392	G210	00000
ICD10-CM	S56.391D	Other injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level, subsequent encounter	V5889	S56391D	10000
ICD10-CM	W01.118D	Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object, subsequent encounter	E8880	W01118D	10000
ICD10-CM	T81.89XD	Other complications of procedures, not elsewhere classified, subsequent encounter	V5889	T8189XD	10000
ICD10-CM	S82.422B	Displaced transverse fracture of shaft of left fibula, initial encounter for open fracture type I or II	82331	S82422B	10000
ICD10-CM	S63.632A	Sprain of interphalangeal joint of right middle finger, initial encounter	84213	S63632A	10000
ICD10-CM	T26.12XA	Burn of cornea and conjunctival sac, left eye, initial encounter	9404	T2612XA	10000
ICD10-CM	O30.033	Twin pregnancy, monochorionic/diamniotic, third trimester	65103	O30033	10111
ICD10-CM	N48.32	Priapism due to disease classified elsewhere	6073	N4832	10000
ICD10-CM	S52.362K	Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion	73382	S52362K	10000
ICD10-CM	T46.6X6A	Underdosing of antihyperlipidemic and antiarteriosclerotic drugs, initial encounter	NoDx	T466X6A	11000
ICD10-CM	S81.042A	Puncture wound with foreign body, left knee, initial encounter	8911	S81042A	10000
ICD10-CM	S91.232A	Puncture wound without foreign body of left great toe with damage to nail, initial encounter	8930	S91232A	10000
ICD10-CM	M21.20	Flexion deformity, unspecified site	73689	M2120	10000
ICD10-CM	O99.019	Anemia complicating pregnancy, unspecified trimester	64820	O99019	10000
ICD10-CM	H20.813	Fuchs' heterochromic cyclitis, bilateral	36421	H20813	10000
ICD10-CM	S61.304A	Unspecified open wound of right ring finger with damage to nail, initial encounter	8830	S61304A	10000
ICD10-CM	T84.197S	Other mechanical complication of internal fixation device of bone of left lower leg, sequela	9093	T84197S	10000
ICD10-CM	S91.103D	Unspecified open wound of unspecified great toe without damage to nail, subsequent encounter	V5889	S91103D	10000
ICD10-CM	B95.4	Other streptococcus as the cause of diseases classified elsewhere	04109	B954	10000
ICD10-CM	M00.211	Other streptococcal arthritis, right shoulder	71101	M00211	10111
ICD10-CM	S90.416A	Abrasion, unspecified lesser toe(s), initial encounter	9170	S90416A	10000
ICD10-CM	I82.60	Acute embolism and thrombosis of unspecified veins of upper extremity	45383	I82609	10000
ICD10-CM	M43.8X6	Other specified deforming dorsopathies, lumbar region	7379	M438X6	10000
ICD10-CM	H40.50X0	Glaucoma secondary to other eye disorders, unspecified eye, stage unspecified	36559	H4050X0	10111
ICD10-CM	O46.92	Antepartum hemorrhage, unspecified, second trimester	64193	O4692	10000
ICD10-CM	F15.229	Other stimulant dependence with intoxication, unspecified	30440	F15229	10112
ICD10-CM	Z89.212	Acquired absence of left upper limb below elbow	V4965	Z89212	10000
ICD10-CM	M06.06	Rheumatoid arthritis without rheumatoid factor, knee	7140	M06069	10000
ICD10-CM	O30.041	Twin pregnancy, dichorionic/diamniotic, first trimester	V9103	O30041	10112
ICD10-CM	K72.90	Hepatic failure, unspecified without coma	5728	K7290	10000
ICD10-CM	G96.0	Cerebrospinal fluid leak	38861	G960	10000
ICD10-CM	I25.7	Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris	4111	I25700	10112
ICD10-CM	T17.828S	Food in other parts of respiratory tract causing other injury, sequela	9085	T17828S	10000
ICD10-CM	S45.209A	Unspecified injury of axillary or brachial vein, unspecified side, initial encounter	9031	S45209A	10000
ICD10-CM	M84.311A	Stress fracture, right shoulder, initial encounter for fracture	73395	M84311A	10000
ICD10-CM	T25.411A	Corrosion of unspecified degree of right ankle, initial encounter	94503	T25411A	10000
ICD10-CM	F12.929	Cannabis use, unspecified with intoxication, unspecified	2922	F12929	10000
ICD10-CM	K64.0	First degree hemorrhoids	4550	K640	10000
ICD10-CM	T15.11XA	Foreign body in conjunctival sac, right eye, initial encounter	E914	T1511XA	10112
ICD10-CM	C81.0	Nodular lymphocyte predominant Hodgkin lymphoma	20140	C8100	10000
ICD10-CM	S42.224P	2-part nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion	73381	S42224P	10000
ICD10-CM	O91.13	Abscess of breast associated with lactation	67514	O9113	10000
ICD10-CM	E70.2	Disorders of tyrosine metabolism	2702	E7020	10000
ICD10-CM	J47.1	Bronchiectasis with (acute) exacerbation	4941	J471	10000
ICD10-CM	Y90.9	Presence of alcohol in blood, level not specified	NoDx	Y909	11000
ICD10-CM	G40.119	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus	34571	G40119	10000
ICD10-CM	H74.02	Tympanosclerosis, left ear	38502	H7402	10000
ICD10-CM	C7A.093	Malignant carcinoid tumor of the kidney	20924	C7A093	00000
ICD10-CM	S82.51XE	Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with routine healing	V5416	S8251XE	10000
ICD10-CM	S45.812A	Laceration of other specified blood vessels at shoulder and upper arm level, left arm, initial encounter	90300	S45812A	10000
ICD10-CM	E34.0	Carcinoid syndrome	2592	E340	00000
ICD10-CM	T23.351A	Burn of third degree of right palm, initial encounter	94445	T23351A	10000
ICD10-CM	S00.419A	Abrasion of unspecified ear, initial encounter	9100	S00419A	10000
ICD10-CM	G44.319	Acute post-traumatic headache, not intractable	33921	G44319	10000
ICD10-CM	M25.061	Hemarthrosis, right knee	71916	M25061	10000
ICD10-CM	S82.91XA	Unspecified fracture of right lower leg, initial encounter for closed fracture	8270	S8291XA	10000
ICD10-CM	J03.90	Acute tonsillitis, unspecified	463	J0390	10000
ICD10-CM	S42.421B	Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus, initial encounter for open fracture	81251	S42421B	10000
ICD10-CM	T80.1XXA	Vascular complications following infusion, transfusion and therapeutic injection, initial encounter	9992	T801XXA	10000
ICD10-CM	W24.0XXA	Contact with lifting devices, not elsewhere classified, initial encounter	E9192	W240XXA	10000
ICD10-CM	S93.326A	Dislocation of tarsometatarsal joint of unspecified foot, initial encounter	83803	S93326A	10000
ICD10-CM	O41.03X1	Oligohydramnios, third trimester, fetus 1	65803	O4103X1	10000
ICD10-CM	H31.012	Macula scars of posterior pole (postinflammatory) (post-traumatic), left eye	36332	H31012	10000
ICD10-CM	M48.55XG	Collapsed vertebra, not elsewhere classified, thoracolumbar region, subsequent encounter for fracture with delayed healing	V5427	M4855XG	10000
ICD10-CM	S62.394A	Other fracture of fourth metacarpal bone, right hand, initial encounter for closed fracture	81509	S62394A	10000
ICD10-CM	T81.593A	Other complications of foreign body accidentally left in body following injection or immunization, initial encounter	9984	T81593A	10000
ICD10-CM	R29.708	NIHSS score 8	NoDx	R29708	11000
ICD10-CM	Z11.4	Encounter for screening for human immunodeficiency virus [HIV]	V7389	Z114	10000
ICD10-CM	H04.301	Unspecified dacryocystitis of right lacrimal passage	37530	H04301	10000
ICD10-CM	M12.869	Other specific arthropathies, not elsewhere classified, unspecified knee	71646	M12869	10000
ICD10-CM	Z92.84	Personal history of unintended awareness under general anesthesia	V1589	Z9284	10000
ICD10-CM	T23.371A	Burn of third degree of right wrist, initial encounter	94447	T23371A	10000
ICD10-CM	H44.021	Vitreous abscess (chronic), right eye	36004	H44021	10000
ICD10-CM	T82.129A	Displacement of unspecified cardiac electronic device, initial encounter	99600	T82129A	10000
ICD10-CM	H49.2	Sixth [abducent] nerve palsy	37854	H4920	10000
ICD10-CM	S79.092D	Other physeal fracture of upper end of left femur, subsequent encounter for fracture with routine healing	V5415	S79092D	10000
ICD10-CM	T82.591A	Other mechanical complication of surgically created arteriovenous shunt, initial encounter	9961	T82591A	10000
ICD10-CM	M23.209	Derangement of unspecified meniscus due to old tear or injury, unspecified knee	7175	M23209	10000
ICD10-CM	L27.2	Dermatitis due to ingested food	6931	L272	00000
ICD10-CM	T40.601A	Poisoning by unspecified narcotics, accidental (unintentional), initial encounter	E8502	T40601A	10112
ICD10-CM	B44.9	Aspergillosis, unspecified	1173	B449	10000
ICD10-CM	T83.122S	Displacement of indwelling ureteral stent, sequela	9093	T83122S	10000
ICD10-CM	S66.429A	Laceration of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, initial encounter	88122	S66429A	10000
ICD10-CM	S32.471A	Displaced fracture of medial wall of right acetabulum, initial encounter for closed fracture	8080	S32471A	10000
ICD10-CM	I72.8	Aneurysm of other specified arteries	44289	I728	10000
ICD10-CM	T21.25XS	Burn of second degree of buttock, sequela	9068	T2125XS	10000
ICD10-CM	T24.231A	Burn of second degree of right lower leg, initial encounter	94524	T24231A	10000
ICD10-CM	D36.15	Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen	2159	D3615	10000
ICD10_CA	K76.0	Fatty (change of) liver, not elsewhere classified	5718	K760	10000
ICD10-CM	Q25.49	Other congenital malformations of aorta	74729	Q2549	10000
ICD10-CM	T84.625A	Infection and inflammatory reaction due to internal fixation device of left fibula, initial encounter	99667	T84625A	10000
ICD10-CM	W21.02XA	Struck by soccer ball, initial encounter	E9170	W2102XA	10000
ICD10-CM	S31.109S	Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, sequela	9060	S31109S	10000
ICD10-CM	S42.302B	Unspecified fracture of shaft of humerus, left arm, initial encounter for open fracture	81230	S42302B	10000
ICD10-CM	A05.0	Foodborne staphylococcal intoxication	0050	A050	00000
ICD10-CM	B69.9	Cysticercosis, unspecified	1231	B699	10000
